feature
Action
Adventure
Animation
Biography
Comedy
Crime
Documentary
Drama
Family
Fantasy
Film-Noir
History
Horror
Music
Musical
Mystery
News
Reality-TV
Romance
Barton MacLane
Basil Rathbone
Beatriz Michelena
Beau Bridges
Beau Knapp
Bebe Daniels
Bel Powley
Bela Lugosi
Belinda Lee
Bella Thorne
Belle Bennett
Ben Affleck
Ben Barnes
Ben Cross
Ben Davies
Ben F. Wilson
Ben Foster
Ben Gazzara
Ben Johnson
Ben Kingsley
Ben Lyon
Ben Platt
Ben Stiller
Ben Whishaw
Benedict Cumberbatch
Benicio Del Toro
Benjamin Biolay
Benjamin Bratt
Benjamin Lavernhe
Benjamin Walker
Benoît Magimel
Benoît Poelvoorde
Bernadette Lafont
Bernard Alane
Bernard Blier
Bernard Campan
Bernard Giraudeau
Bernard Verley
Bernardo Ruiz
Bernie Casey
Bert Lytell
Bert Marcus
Bert Wheeler
Bertrand Tavernier
Bessie Barriscale
Bessie Love
Betsy Palmer
Betsy Russell
Bette Davis
Bette Midler
Betty Bronson
Betty Compson
Betty Grable
Betty Hutton
Beyoncé
Bibi Andersson
Bill 'Cowboy Rambler' Boyd
Bill Cody
Bill Cosby
Bill Elliott
Bill Morrison
Bill Moseley
Bill Murray
Bill Nighy
Bill Oberst Jr.
Bill Paxton
Bill Pullman
Bill Ross IV
Bill Sage
Bill Skarsgård
Bill Williams
Billie Burke
Billie Dove
Billy Bob Thornton
Billy Burke
Billy Corben
Billy Crudup
Billy Crystal
Billy Dee Williams
Billy Gilbert
Billy Halop
Billy Lee
Billy Mauch
Billy Zane
Bing Crosby
Binnie Barnes
Blair Underwood
Blake Lively
Blanche Gardin
Blanche Sweet
Blayne Weaver
Blythe Danner
Bo Derek
Bo Hopkins
Bo Svenson
Bob Baker
Bob Burns
Bob Custer
Bob Dylan
Bob Hope
Bob Hoskins
Bob Newhart
Bob Steele
Bobby Breen
Bobby Driscoll
Bobby Johnston
Bobcat Goldthwait
Bonita Granville
Bonni Cohen
Bonnie Bedelia
Booboo Stewart
Boris Karloff
Bouli Lanners
Bourvil
Boyd Holbrook
Brad Crandall
Brad Davis
Brad Dourif
Brad Harris
Brad Hunt
Brad Johnson
Brad Pitt
Bradford Dillman
Bradley Cooper
Brandon Beckham Aylor
Brandon Routh
Brea Grant
Breckin Meyer
Breeda Wool
Brenda Blethyn
Brenda Marshall
Brendan Fraser
Brent Hodge
Brenton Thwaites
Brett Cullen
Brett Halsey
Brett Morgen
Brett Varvel
Brett Whitcomb
Brian Aherne
Brian Anthony
Brian Anthony Wilson
Brian Austin Green
Brian Bosworth
Brian Cox
Brian Dennehy
Brian Donlevy
Brian Geraghty
Brian Hooks
Brian Jordan Alvarez
Brian Keith
Brian Kerwin
Brian Knappenberger
Brian Krause
Brian O'Halloran
Brian Presley
Brian Wimmer
Briana Evigan
Brick Bronsky
Bridget Fonda
Brie Larson
Brigid Berlin
Brigitte Bardot
Brigitte Fossey
Brigitte Helm
Brigitte Lahaie
Brigitte Nielsen
Brinke Stevens
Brit Marling
Britt Ekland
Brittany Allen
Brittany Murphy
Brittany Snow
Brock Peters
Broderick Crawford
Bronson Pinchot
Brooke Adams
Brooke Shields
Bruce Bennett
Bruce Boxleitner
Bruce Cabot
Bruce Campbell
Bruce Davison
Bruce Dern
Bruce Greenwood
Bruce Payne
Bruce Penhall
Bruce Weber
Bruce Willis
Bruno Cremer
Bruno Ganz
Bruno Solo
Bruno Todeschini
Bryan Brown
Bryan Cranston
Bryan Fogel
Bryant Washburn
Bryce Dallas Howard
Buck Jones
Bud Abbott
Bud Cort
Bud Spencer
Buddy Roosevelt
Bug Hall
Bulle Ogier
Burgess Meredith
Burl Ives
Burnie Burns
Burt Lancaster
Burt Reynolds
Buster Crabbe
Buster Keaton
Buzz Barton
Béatrice Dalle
Bérénice Bejo
C. Aubrey Smith
C. Thomas Howell
C.J. Thomason
Cailee Spaeny
Caitlin Carmichael
Caitlin Gerard
Caleb Landry Jones
Caleb Thomas
Callan McAuliffe
Callum Blue
Callum Turner
Calvin Lockhart
Cam Gigandet
Cameron Bancroft
Cameron Deane Stewart
Cameron Diaz
Cameron Mitchell
Camilla Belle
Camille Cottin
Camille Keaton
Camille Rowe
Camille Sullivan
Campbell Scott
Candice Bergen
Candice Rialson
Carey Mulligan
Carla Gugino
Carlos Gallardo
Carlos Gardel
Carly Schroeder
Carlyle Blackwell
Carmel Myers
Carmen Argenziano
Carmen Maura
Carol Dempster
Carol Lynley
Carole Bouquet
Carole Landis
Carole Laure
Carole Lombard
Caroline Cartier
Caroline Ducey
Caroline Williams
Carrie Preston
Carroll Baker
Cary Elwes
Cary Grant
Casey Affleck
Casper Van Dien
Cassandra Peterson
Cate Blanchett
Catherine Annette
Catherine Deneuve
Catherine Frot
Catherine Gund
Catherine Hessling
Catherine Jourdan
Catherine Keener
Catherine Mary Stewart
Catherine McCormack
Catherine Spaak
Catherine Zeta-Jones
Cathy Adams
Cedric Hardwicke
Cedric The Entertainer
Cesar Romero
Chad Allen
Chad Everett
Chad McQueen
Chad Michael Collins
Chad Michael Murray
Chadwick Boseman
Channing Tatum
Chantal Akerman
Chantal Ladesou
Chantal Lauby
Charisma Carpenter
Charlene Amoia
Charles 'Buddy' Rogers
Charles 'Chic' Sale
Charles Aznavour
Charles Berling
Charles Bickford
Charles Boyer
Charles Bronson
Charles Chaplin
Charles Coburn
Charles Denner
Charles Durning
Charles Farrell
Charles Grodin
Charles Hutchison
Charles Laughton
Charles McGraw
Charles Murray
Charles Napier
Charles Quigley
Charles Ray
Charles Ruggles
Charles Starrett
Charles Trenet
Charles Vanel
Charley Chase
Charley Grapewin
Charlie Hunnam
Charlie Minn
Charlie Plummer
Charlie Sheen
Charlize Theron
Charlotte Gainsbourg
Charlotte Rampling
Charlotte de Turckheim
Charlton Heston
Chase Fein
Chase Williamson
Chazz Palminteri
Cheech Marin
Cher
Cheri Caffaro
Chester Lauck
Chester Morris
Chevy Chase
Chiara Mastroianni
Chiwetel Ejiofor
Chloe Bennet
Chloë Grace Moretz
Chloë Sevigny
Chow Yun-Fat
Chris Brown
Chris Cooper
Chris Evans
Chris Farley
Chris Hegedus
Chris Hemsworth
Chris Kattan
Chris Klein
Chris Marker
Chris Messina
Chris Mulkey
Chris O'Donnell
Chris Penn
Chris Perkel
Chris Pine
Chris Pratt
Chris Robinson
Chris Rock
Chris Sarandon
Chris Smith
Christa Théret
Christian Bale
Christian Blackwood
Christian Campbell
Christian Clavier
Christian Keyes
Christian Marquand
Christian Slater
Christian Vadim
Christina Applegate
Christina Hendricks
Christina Lindberg
Christina Ricci
Christine Lahti
Christoph Waltz
Christophe Malavoy
Christopher Abbott
Christopher Atkins
Christopher Denham
Christopher George
Christopher Gorham
Christopher Lambert
Christopher Lee
Christopher Lloyd
Christopher McDonald
Christopher Mitchum
Christopher Plummer
Christopher Reeve
Christopher Reid
Christopher Walken
Chuck Connors
Chuck Norris
Chuck Workman
Cicely Tyson
Cillian Murphy
Cindy Williams
Claes Bang
Claire Danes
Claire Simon
Claire Trevor
Claire Windsor
Clara Bow
Clara Kimball Young
Clark Gable
Claude Akins
Claude Brasseur
Claude Dauphin
Claude Jade
Claude Lanzmann
Claude Perron
Claude Rains
Claude Rich
Claudette Colbert
Claudia Cardinale
Claudia Jennings
Claudine Dupuis
Claudio Brook
Claus Drexel
Clayne Crawford
Clayton Moore
Clayton Rohner
Cleo Moore
Cliff De Young
Cliff Robertson
Clifton Collins Jr.
Clifton Powell
Clifton Webb
Clint Eastwood
Clint Walker
Clive Brook
Clive Owen
Cloris Leachman
Clotilde Hesme
Clovis Cornillac
Clyde Beatty
Clémence Poésy
Cody Tudor
Cole Hauser
Colin Farrell
Colin Firth
Colin Hanks
Colleen Brennan
Colleen Moore
Colm Meaney
Coluche
Columbus Short
Connie Francis
Connie Nielsen
Conrad Nagel
Conrad Veidt
Constance Bennett
Constance Talmadge
Constance Wu
Constant Rémy
Conway Tearle
Corbin Bernsen
Corey Feldman
Corey Haim
Corin Nemec
Corinne Griffith
Corinne Masiero
Cornel Wilde
Cory Knauf
Costas Mandylor
Courteney Cox
Courtney Gains
Courtney Stephens
Craig Hill
Craig Sheffer
Craig Stevens
Craig Wasson
Crispin Glover
Crista Alfaiate
Cristina Costantini
Cristina Raines
Cuba Gooding Jr.
Cullen Landis
Cung Le
Curd Jürgens
Cynthia Erivo
Cynthia Rothrock
Cyril Dion
Cécile de France
Céline Sallette
D.B. Sweeney
DJ Perry
DJ Qualls
DMX
Dagmara Dominczyk
Daisy Edgar-Jones
Daisy Ridley
Dakota Fanning
Dakota Johnson
Dale Robertson
Dallas Roberts
Damian Chapa
Damian Lewis
Damien Bonnard
Damon Wayans
Dan Aykroyd
Dan Dailey
Dan Duryea
Dan Fogler
Dan Haggerty
Dan Monahan
Dan Stevens
Dan Vadis
Dana Andrews
Dana Ashbrook
Dana Carvey
Dana Delany
Dana Ivgy
Dane Clark
Dane Cook
Dane DeHaan
Daneen Boone
Daniel Auteuil
Daniel Baldwin
Daniel Bernhardt
Daniel Bonjour
Daniel Craig
Daniel D. Anderson
Daniel Day-Lewis
Daniel Gélin
Daniel Junge
Daniel Kaluuya
Daniel Lindsay
Daniel Radcliffe
Daniel Roebuck
Danielle C. Ryan
Danielle Darrieux
Danielle Deadwyler
Danielle Donahue
Danielle Harris
Danièle Delorme
Danièle Gaubert
Danièle Huillet
Danny Aiello
Danny Arroyo
Danny Boushebel
Danny Clinch
Danny DeVito
Danny Glover
Danny Gold
Danny Huston
Danny Kaye
Danny McBride
Danny Trejo
Dante Basco
Dany Boon
Dany Carrel
Dany Robin
Dany Saval
Daphne Zuniga
Darby Hinton
Darcy Weir
Darren McGavin
Darry Cowl
Daryl Hannah
Dasha Nekrasova
Dave Bautista
Dave Davis
Dave Grohl
Dave LaMattina
Dave O'Brien
David A. Weiner
David A.R. White
David Arquette
David Birney
David Bradley
David Brian
David Call
David Carradine
David Caruso
David Dastmalchian
David Duchovny
David France
David Gelb
David Gregory
David Harbour
David Heavener
David Janssen
David Keith
David Ladd
David Lipper
David Manners
David Markey
David McCallum
David Morse
David Naughton
David Niven
David Nordstrom
David Oyelowo
David Redmon
David Salzberg
David Schwimmer
David Sharpe
David Spade
David Strathairn
David Thewlis
David Warner
David Wayne
Dawn Addams
Dawn Porter
Dawna Lee Heising
Dax Shepard
Dean Cain
Dean Jones
Dean Martin
Dean Stockwell
Deanna Durbin
Debbie Reynolds
Debbie Rochon
Deborah Dutch
Deborah Foreman
Deborah Kerr
Deborah Scranton
Debra Paget
Debra Winger
Dee Wallace
Delphine Seyrig
Delroy Lindo
Demi Moore
Demián Bichir
Denis Lavant
Denis Leary
Denis Ménochet
Denis Podalydès
Denise Richards
Dennis Christopher
Dennis Farina
Dennis Hopper
Dennis Lipscomb
Dennis Moore
Dennis Morgan
Dennis O'Keefe
Dennis Quaid
Denzel Washington
Derek Phillips
Dermot Mulroney
Desi Arnaz
Desmond Harrington
Dev Patel
Devanny Pinn
Devon Sawa
Diana Ross
Diana Wynyard
Diane Keaton
Diane Kruger
Diane Ladd
Diane Lane
Dianna Agron
Dick Foran
Dick Miller
Dick Powell
Dick Purcell
Dick Van Dyke
Dickie Moore
Didier Bourdon
Diego Boneta
